entity              ,category            ,start       ,end         ,start_sec,end_sec,confidence,id
terrestrial animal  ,animal              ,00:00:36.600,00:00:49.560,36.6     ,49.56  ,0.568861  ,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:00:49.600,00:00:56.760,49.6     ,56.76  ,0.5352956 ,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:00:56.800,00:00:59.840,56.8     ,59.84  ,0.568861  ,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:01:08.080,00:01:10.680,68.08    ,70.68  ,0.568861  ,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:01:10.720,00:01:14.720,70.72    ,74.72  ,0.568861  ,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:01:47.280,00:01:49.040,107.28   ,109.04 ,0.31053498,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:01:49.080,00:01:50.720,109.08   ,110.72 ,0.568861  ,MGrLtKlC5Sc
terrestrial animal  ,animal              ,00:01:50.760,00:01:53.800,110.76   ,113.8  ,0.568861  ,MGrLtKlC5Sc
vegetation          ,n/a                 ,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.7829881 ,MGrLtKlC5Sc
vehicle             ,n/a                 ,00:00:27.200,00:00:36.560,27.2     ,36.56  ,0.459716  ,MGrLtKlC5Sc
vehicle             ,n/a                 ,00:01:29.480,00:01:33.600,89.48    ,93.6   ,0.96789396,MGrLtKlC5Sc
cat                 ,pet                 ,00:01:08.080,00:01:10.680,68.08    ,70.68  ,0.57761556,MGrLtKlC5Sc
professional        ,person              ,00:00:00.000,00:00:27.160,0.0      ,27.16  ,0.3060503 ,MGrLtKlC5Sc
big cats            ,mammal              ,00:00:36.600,00:00:49.560,36.6     ,49.56  ,0.45671695,MGrLtKlC5Sc
lion                ,mammal              ,00:01:47.280,00:01:49.040,107.28   ,109.04 ,0.31505704,MGrLtKlC5Sc
grassland           ,geographical feature,00:01:08.080,00:01:10.680,68.08    ,70.68  ,0.43213096,MGrLtKlC5Sc
grassland           ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.7092344 ,MGrLtKlC5Sc
signage             ,n/a                 ,00:01:21.160,00:01:25.960,81.16    ,85.96  ,0.49780032,MGrLtKlC5Sc
leopard             ,mammal              ,00:00:36.600,00:00:49.560,36.6     ,49.56  ,0.7153981 ,MGrLtKlC5Sc
leopard             ,mammal              ,00:00:56.800,00:00:59.840,56.8     ,59.84  ,0.609235  ,MGrLtKlC5Sc
leopard             ,mammal              ,00:01:08.080,00:01:10.680,68.08    ,70.68  ,0.609235  ,MGrLtKlC5Sc
leopard             ,mammal              ,00:01:10.720,00:01:14.720,70.72    ,74.72  ,0.6457086 ,MGrLtKlC5Sc
leopard             ,mammal              ,00:01:49.080,00:01:50.720,109.08   ,110.72 ,0.7153981 ,MGrLtKlC5Sc
leopard             ,mammal              ,00:01:50.760,00:01:53.800,110.76   ,113.8  ,0.609235  ,MGrLtKlC5Sc
car                 ,vehicle             ,00:01:29.480,00:01:33.600,89.48    ,93.6   ,0.7307945 ,MGrLtKlC5Sc
plain               ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.3109089 ,MGrLtKlC5Sc
highway             ,road                ,00:01:29.480,00:01:33.600,89.48    ,93.6   ,0.64534104,MGrLtKlC5Sc
forest              ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.70629627,MGrLtKlC5Sc
tree                ,plant               ,00:01:19.160,00:01:21.120,79.16    ,81.12  ,0.4811999 ,MGrLtKlC5Sc
tree                ,plant               ,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.6971892 ,MGrLtKlC5Sc
mode of transport   ,n/a                 ,00:01:29.480,00:01:33.600,89.48    ,93.6   ,0.4759073 ,MGrLtKlC5Sc
nature reserve      ,geographical feature,00:01:41.560,00:01:47.240,101.56   ,107.24 ,0.371299  ,MGrLtKlC5Sc
cheetah             ,mammal              ,00:00:36.600,00:00:49.560,36.6     ,49.56  ,0.7236437 ,MGrLtKlC5Sc
cheetah             ,mammal              ,00:00:56.800,00:00:59.840,56.8     ,59.84  ,0.6341263 ,MGrLtKlC5Sc
cheetah             ,mammal              ,00:01:08.080,00:01:10.680,68.08    ,70.68  ,0.7236437 ,MGrLtKlC5Sc
cheetah             ,mammal              ,00:01:10.720,00:01:14.720,70.72    ,74.72  ,0.7236437 ,MGrLtKlC5Sc
cheetah             ,mammal              ,00:01:47.280,00:01:49.040,107.28   ,109.04 ,0.42836875,MGrLtKlC5Sc
cheetah             ,mammal              ,00:01:49.080,00:01:50.720,109.08   ,110.72 ,0.42836875,MGrLtKlC5Sc
cheetah             ,mammal              ,00:01:50.760,00:01:53.800,110.76   ,113.8  ,0.6341263 ,MGrLtKlC5Sc
wind                ,n/a                 ,00:01:37.160,00:01:41.520,97.16    ,101.52 ,0.6040374 ,MGrLtKlC5Sc
banner              ,advertising         ,00:01:21.160,00:01:25.960,81.16    ,85.96  ,0.5481871 ,MGrLtKlC5Sc
banner              ,advertising         ,00:01:26.000,00:01:29.440,86.0     ,89.44  ,0.48539996,MGrLtKlC5Sc
newscaster          ,person              ,00:00:00.000,00:00:27.160,0.0      ,27.16  ,0.8368162 ,MGrLtKlC5Sc
